user_id,article_1,article_2,article_3,article_4,article_5
200000,194935,195645,195087,194421,191929
200001,272143,64329,324823,199198,285343
200002,208596,158915,202701,206315,236444
200003,277107,235105,50494,158772,158331
200004,218028,157478,289003,57966,202355
200005,69932,234698,156964,336221,42226
200006,336245,20691,96210,159529,288440
200007,157478,218028,289003,97530,202355
200008,277107,352979,283009,336254,289003
200009,64329,199198,156560,198659,162655
200010,162655,158536,64329,272143,156624
200011,272143,162655,64329,156560,160417
200012,119534,181585,233688,111043,128260
200013,336245,271262,337441,58580,277067
200014,156560,158536,272143,160417,156447
200015,64409,336221,156964,58565,95716
200016,20691,337441,96127,233742,284583
200017,70731,96210,70649,71161,70484
200018,288440,284583,271262,57616,277067
200019,121834,272143,7694,198659,273309
200020,289090,234269,336220,234267,32082
200021,156560,199198,198659,64329,156624
200022,336221,235870,235616,300082,64409
200023,277492,162636,235854,156519,284096
200024,50644,36162,30760,234481,224730
200025,293301,257291,233717,285719,156654
200026,286336,272143,285343,162655,282785
200027,168623,123909,59863,276970,65468
200028,348111,272143,182513,285298,156624
200029,277107,289003,36162,235105,283009
200030,133160,288320,141004,303180,214206
200031,272218,129434,338339,301030,108856
200032,156560,162765,156447,272143,160417
200033,96210,20691,57616,336245,277067
200034,87179,161801,235525,63307,87228
200035,271262,236566,313920,283764,96210
200036,234698,95716,235870,315105,300082
200037,336221,336223,234698,64409,315105
200038,272143,236065,233728,236370,156560
200039,224486,272143,224355,225055,156560
200040,272143,156560,50823,162655,156624
200041,206785,289003,336254,331116,157478
200042,235652,141004,63307,129434,235525
200043,338340,293050,224763,293114,124749
200044,183176,354086,348087,119534,353242
200045,293513,70215,166129,161580,159275
200046,168623,353012,123909,353786,276970
200047,96210,288440,336245,337441,32088
200048,272143,156624,182513,156560,199198
200049,107203,107177,107305,156296,57748
200050,348112,285533,336245,183176,159529
200051,64329,198659,156560,199198,162655
200052,58580,96210,277067,283764,236566
200053,277492,119534,235854,288435,336220
200054,96210,250043,57616,157375,336245
200055,159938,181585,119534,111043,128260
200056,70429,202320,73506,39894,159019
200057,272143,96152,156560,166430,199197
200058,206785,336254,331116,157478,63304
200059,336254,218028,157478,289003,202355
200060,59057,133160,303180,233595,63307
200061,289090,336220,288435,235854,234267
200062,225019,203260,205866,207813,336223
200063,161801,141004,235652,214283,270799
200064,199198,64329,198659,156624,156560
200065,14394,16470,15306,62567,161801
200066,336223,59057,48403,31836,270229
200067,64409,156964,235870,235616,58565
200068,96214,96660,97108,97459,336221
200069,277107,39894,352979,289003,157478
200070,272143,182513,156624,336476,156560
200071,159275,57748,162817,158882,70215
200072,303180,59057,31836,336223,214206
200073,336220,277491,235616,234267,337192
200074,161801,235652,63307,236541,270799
200075,123826,293114,293050,124350,284985
200076,234698,336221,300082,293218,235870
200077,156624,272143,50823,156560,160417
200078,199198,64329,162655,156560,166581
200079,336254,157478,331116,285849,166322
200080,255747,254414,256026,255821,331116
200081,149612,234698,157076,42226,336221
200082,156560,158536,156447,162765,272143
200083,50504,245161,158882,96210,285377
200084,331116,157478,289003,39894,97530
200085,336223,289186,59057,288320,225019
200086,123289,293114,124748,293050,123826
200087,331116,97530,157478,57966,289003
200088,156560,158536,272143,160417,50823
200089,331116,277107,289003,157478,39894
200090,233717,31353,159762,31286,293301
200091,284096,235854,336220,156843,70591
200092,123289,313807,315088,124194,313242
200093,277107,39894,289003,352979,336254
200094,59057,31836,133160,303180,336223
200095,331116,218028,209236,162378,202559
200096,234698,336221,235870,315105,59057
200097,136041,235616,271261,235870,315105
200098,283009,277107,288827,352979,336254
200099,271262,16087,236610,285377,284773
200100,336245,96210,20691,183176,9308
200101,42223,42770,42960,336221,42226
200102,257291,293301,159762,233717,285719
200103,235854,234814,236522,234267,235084
200104,293513,288528,159275,166129,70215
200105,32082,29953,336221,234698,234269
200106,157478,206785,289003,57966,63304
200107,42225,284312,57748,58619,159275
200108,336245,20691,288440,337441,284583
200109,300128,298310,300473,300470,272143
200110,293062,338340,293114,331737,118391
200111,336254,157478,166322,331116,57966
200112,234698,156964,336221,235616,300082
200113,123909,237524,299152,233420,236207
200114,96210,336245,57616,277067,293513
200115,156560,158536,160417,272143,348111
200116,161506,59057,63307,236553,140659
200117,289090,336220,234267,234269,277492
200118,31836,285333,336223,48403,288320
200119,211415,214658,199474,211723,159275
200120,157478,336254,357554,331116,234195
200121,119534,277492,183176,159938,215674
200122,157478,218028,289003,57966,285849
200123,331116,336254,157478,289003,207603
200124,336245,20691,271262,285377,293513
200125,234698,235870,95716,315105,64409
200126,331116,202355,336254,289003,199372
200127,272143,162655,160417,156624,64329
200128,166322,235920,336254,331116,157478
200129,161506,63307,87192,161801,214283
200130,156624,158536,156560,272143,64329
200131,288320,59057,233595,133160,30611
200132,336254,218028,186369,39894,289003
200133,313431,284547,272143,129029,235230
200134,39894,352979,283009,30389,331116
200135,20691,337441,96103,32088,96127
200136,225010,283764,313920,96210,236566
200137,352979,283009,158772,39894,206415
200138,156560,199198,198659,64329,348111
200139,235230,284547,206168,313431,271551
200140,336245,96210,284793,31805,10127
200141,277107,235105,206415,283009,157478
200142,315088,313619,313807,313355,323949
200143,211481,336223,336964,315105,32295
200144,124350,124748,123289,123757,123290
200145,331116,336254,57966,289003,97530
200146,331116,331780,199474,160748,211455
200147,272955,331116,271319,336254,272802
200148,272143,160417,160974,158536,199198
200149,320639,277107,289003,331116,283009
200150,352979,283009,289003,42285,331116
200151,293513,245161,270607,96210,50504
200152,272143,324823,199198,348111,175040
200153,331116,199372,202355,214753,215613
200154,234698,95716,315105,300082,352983
200155,236951,124194,157844,283392,236444
200156,123909,168623,156625,161425,276970
200157,119534,288435,307779,235854,159938
200158,352979,39894,30389,283009,289003
200159,336223,48403,59057,119193,270229
200160,206785,277107,206415,207603,39894
200161,207758,206415,285908,202381,70429
